Designator,Mid X,Mid Y,Rotation,Layer
C1,32.9875,-99.2,0.0,bottom
C10,57.75,-91.948,90.0,bottom
C11,61.468,-91.948,90.0,bottom
C12,52.6,-100.6,0.0,bottom
C13,55.118,-100.457,0.0,bottom
C14,43.942,-89.408,270.0,bottom
C15,44.958,-89.408,270.0,bottom
C2,46.611,-102.416,270.0,bottom
C3,69.215,-99.314,180.0,bottom
C4,52.832,-96.012,0.0,bottom
C5,61.468,-102.489,270.0,bottom
C6,57.785,-102.489,270.0,bottom
C7,55.118,-101.473,0.0,bottom
C8,69.215,-98.298,180.0,bottom
C9,53.594,-97.282,0.0,bottom
D1,33.3375,-38.1,180.0,bottom
D10,109.5375,-66.675,180.0,bottom
D11,33.3375,-76.2,180.0,bottom
D12,52.3875,-80.9625,180.0,bottom
D13,70.978125,-76.2,180.0,bottom
D14,90.4875,-76.2,180.0,bottom
D15,109.5375,-85.725,180.0,bottom
D16,90.028125,-95.25,180.0,bottom
D17,109.5375,-104.775,180.0,bottom
D2,52.3875,-42.8625,180.0,bottom
D3,71.4375,-38.1,180.0,bottom
D4,90.4875,-38.1,180.0,bottom
D5,109.5375,-47.625,180.0,bottom
D6,33.3375,-57.15,180.0,bottom
D7,52.3875,-61.9125,180.0,bottom
D8,71.4375,-57.15,180.0,bottom
D9,90.4875,-57.15,180.0,bottom
F1,33.2,-94.4,0.0,bottom
J1,27.118,-86.915625,90.0,bottom
R1,49.411,-101.506,270.0,bottom
R2,33.528,-84.582,90.0,bottom
R3,33.528,-88.9,270.0,bottom
R4,51.4,-97.784,0.0,bottom
R5,51.4,-98.8,0.0,bottom
R6,69.2,-97.2,0.0,bottom
R7,52.324,-86.868,270.0,bottom
R8,53.34,-86.868,270.0,bottom
SD1,32.9875,-96.6,0.0,bottom
STLED1,50.483,-101.502,90.0,bottom
SW1,33.3375,-33.3375,0.0,bottom
SW10,109.5375,-61.9125,0.0,bottom
SW11,33.3375,-71.4375,0.0,bottom
SW12,52.3875,-76.2,0.0,bottom
SW13,71.4375,-71.4375,0.0,bottom
SW14,90.4875,-71.4375,0.0,bottom
SW15,109.5375,-80.9625,0.0,bottom
SW16,90.4875,-90.4875,0.0,bottom
SW17,109.5375,-100.0125,0.0,bottom
SW2,52.3875,-38.1,0.0,bottom
SW3,71.4375,-33.3375,0.0,bottom
SW4,90.4875,-33.3375,0.0,bottom
SW5,109.5375,-42.8625,0.0,bottom
SW6,33.3375,-52.3875,0.0,bottom
SW7,52.3875,-57.15,0.0,bottom
SW8,71.4375,-52.3875,0.0,bottom
SW9,90.4875,-52.3875,0.0,bottom
SW_BOOT1,66.6,-106.6,0.0,bottom
SW_RESET1,60.8,-106.6,0.0,bottom
U1,40.411,-102.616,0.0,bottom
U2,60.4375,-97.0,0.0,bottom
U3,50.4,-91.0,270.0,bottom
Y1,69.2,-95.4,180.0,bottom
